work_year,salary,remote_ratio,experience_level,employment_type,job_title,employee_residence,company_location,company_size,prediction
2023,120250,100,SE,FT,Data Analyst,US,US,M,120232.3
2023,219000,0,SE,FT,Data Scientist,CA,CA,M,218910.0
2022,113900,100,SE,FT,Data Architect,US,US,M,113897.0
2022,151800,0,SE,FT,Data Scientist,US,US,M,151848.0
2023,174500,0,SE,FT,Data Architect,US,US,M,174500.0
2022,100000,0,MI,FT,Data Analyst,US,US,M,100000.0
2022,7500,50,MI,CT,Analytics Engineer,BO,BO,M,7884.74
2023,48000,0,SE,FT,Data Analyst,ES,ES,M,51298.72
2022,118000,100,MI,FT,Data Engineer,US,US,M,117678.62
2021,200000,100,SE,FT,Data Engineer,US,US,L,200000.0
2022,185900,0,SE,FT,Data Scientist,US,US,M,185900.0
2023,65000,100,SE,FT,Data Engineer,US,US,M,65010.0
2022,130000,100,EX,FT,Data Scientist,US,US,M,130589.55
2022,85000,0,EN,FT,Data Engineer,US,US,M,85000.0
2023,60000,100,EN,FT,Research Engineer,GB,GB,M,65940.14
2023,202800,0,SE,FT,Data Analyst,US,US,L,202812.12
2023,270703,0,SE,FT,Data Engineer,US,US,M,270401.86
2022,28500,50,SE,FT,Lead Data Scientist,PT,PT,S,29913.35
2022,90320,0,SE,FT,Data Analyst,US,US,M,90321.2
2022,141525,100,SE,FT,Data Scientist,US,US,M,141525.0
2021,160000,100,MI,FT,Data Scientist,US,US,L,159500.59
2023,225000,0,SE,FT,Business Intelligence Engineer,US,US,M,225000.0
2022,145000,0,SE,FT,Data Science Consultant,US,US,M,145000.0
2023,90700,0,SE,FT,Data Engineer,US,US,M,90696.2
2023,120000,50,EN,FT,AI Developer,BA,BA,S,120493.9
2022,160000,0,SE,FT,Data Engineer,US,US,M,160000.0
2023,150000,100,SE,FT,Data Science Manager,MX,MX,M,150000.0
2021,52500,50,MI,FT,Data Engineer,GB,GB,L,69269.88
2021,100000,0,EN,FT,Research Scientist,JE,CN,L,99801.16
2023,148000,0,SE,FT,Research Engineer,US,US,M,148040.99
2023,170000,0,SE,FT,Data Engineer,US,US,M,170000.0
2022,65000,0,SE,FT,Data Engineer,ES,ES,M,68126.04
2022,140000,100,MI,FT,Product Data Analyst,US,US,M,140000.0
2022,99000,0,SE,FT,Data Engineer,US,US,M,99004.6
2023,159100,0,SE,FT,Applied Scientist,US,US,L,159069.31
2020,115000,0,MI,FT,Lead Data Scientist,AE,AE,L,115354.38
2022,185900,0,SE,FT,Data Engineer,US,US,M,185900.0
2022,170000,0,SE,FT,Data Engineer,US,US,M,170000.0
2022,185800,100,SE,FT,Data Engineer,CA,CA,M,185833.0
2022,247500,0,SE,FT,Data Science Manager,US,US,M,247509.0
2023,253200,0,SE,FT,Data Engineer,US,US,M,252696.0
2022,50000,100,SE,FT,Data Engineer,US,US,M,50272.48
2022,116100,100,EX,FT,Data Engineer,US,US,M,116099.68
2023,130000,100,SE,FT,Data Engineer,US,US,M,130000.0
2023,90000,100,MI,FT,Data Engineer,US,US,M,90000.0
2022,164996,0,SE,FT,Machine Learning Engineer,US,US,M,164986.2
2023,120000,0,EN,FT,Data Scientist,US,US,M,120000.0
2022,20000,0,EN,FT,Data Analytics Engineer,PK,PK,M,20259.89
2023,147000,0,SE,FT,Data Engineer,US,US,M,147019.0
2023,80000,100,MI,FT,Data Engineer,ES,ES,M,81071.72
2022,231250,100,SE,FT,Data Engineer,US,US,M,231252.5
2023,147100,0,SE,FT,Data Engineer,US,US,M,147096.0
2023,113000,0,SE,FT,Data Architect,US,US,M,113000.0
2022,105400,100,SE,FT,Data Analytics Manager,US,US,M,105401.2
2022,55000,100,EN,FT,Data Analyst,US,US,S,55146.09
2022,135000,0,EN,FT,Data Engineer,US,US,M,135000.0
2023,187500,100,SE,FT,Data Engineer,US,US,M,187514.1
2023,44737,0,SE,FT,Data Manager,GB,GB,M,55489.78
2023,153600,0,SE,FT,Data Analyst,US,US,M,153600.0
2022,100000,100,EN,FT,Product Data Analyst,US,US,M,100000.0
2022,45600,100,EN,FT,Data Manager,US,US,M,46585.3
2022,82000,0,EN,FT,Data Scientist,US,US,L,81864.48
2023,111000,0,SE,FT,Data Engineer,US,US,M,110972.05
2023,127000,100,SE,FT,Data Analyst,US,US,M,127008.25
2021,165000,0,SE,FT,Data Engineer,US,US,M,165000.0
2023,225000,0,SE,FT,Data Scientist,US,US,M,225000.0
2022,140700,0,SE,FT,Data Scientist,US,US,M,140689.25
2023,90000,0,MI,FT,Machine Learning Engineer,US,US,M,90065.78
2023,45000,0,MI,FT,Data Scientist,GB,GB,M,54358.56
2023,64980,0,SE,FT,Data Quality Analyst,US,US,M,65018.4
2023,125000,0,SE,FT,Machine Learning Engineer,US,US,M,125000.0
2023,115100,0,EN,FT,Data Engineer,US,US,M,115143.49
2022,102100,0,SE,FT,Data Engineer,US,US,M,102093.0
2022,40000,100,EN,FT,AI Programmer,PK,AU,M,40244.18
2023,200000,0,EX,FT,Data Engineer,US,US,M,200000.0
2023,175000,0,SE,FT,Data Scientist,US,US,M,175000.0
2022,131300,100,SE,FT,Data Engineer,US,US,L,131295.0
2023,204500,0,SE,FT,Machine Learning Engineer,US,US,M,204500.0
2022,178000,0,SE,FT,Data Engineer,CA,CA,M,177571.41
2023,221000,100,EX,FT,Analytics Engineer,US,US,M,220983.6
2021,70000,100,EN,FT,Computer Vision Software Engineer,US,US,M,70344.1
2022,52800,100,EN,FT,Data Engineer,PK,DE,M,55627.3
2023,230000,100,SE,FT,Applied Scientist,US,US,M,230000.0
2021,153000,100,SE,FT,Data Engineer,US,US,L,152975.88
2022,142000,100,SE,FT,Applied Scientist,US,US,M,142043.2
2020,15000,0,EX,FT,Staff Data Analyst,NG,CA,M,15071.62
2023,75000,100,SE,FT,Data Analyst,US,US,M,75000.0
2022,162000,100,SE,FT,Data Engineer,US,US,M,161916.84
2023,110000,100,SE,FT,Data Scientist,US,US,M,110000.0
2023,84000,100,SE,FT,Data Scientist,US,US,M,84022.86
2023,145000,0,SE,FT,Data Engineer,US,US,M,145000.0
2023,94000,0,SE,FT,Data Engineer,US,US,M,93972.68
2023,109400,0,SE,FT,Data Engineer,US,US,M,109392.0
2023,140000,100,SE,FT,Data Analyst,US,US,M,140000.0
2022,120000,0,MI,FT,Data Engineer,US,US,M,120000.0
2022,135000,0,SE,FT,Data Engineer,US,US,M,135000.0
2022,127000,100,SE,FT,Data Analyst,US,US,M,127002.25
2023,147100,0,SE,FT,Machine Learning Engineer,US,US,M,147095.0
2022,135000,100,MI,FT,Data Scientist,US,US,L,135000.0
2022,100000,100,SE,FT,Data Analyst,US,US,M,100000.0
2023,82365,0,SE,FT,Data Scientist,US,US,M,82395.8
2023,212200,100,SE,FT,Machine Learning Engineer,US,US,M,212400.14
2022,120000,0,SE,FT,Data Analyst,US,US,M,120000.0
2023,48000,0,SE,FT,Data Manager,CO,CO,M,48816.7
2021,200000,100,MI,FT,Data Engineer,US,US,L,200000.0
2022,500000,100,EN,FT,Data Analyst,FR,IN,L,15608.89
2023,175000,0,SE,FT,Data Scientist,US,US,M,175000.0
2023,220000,0,MI,FT,Machine Learning Scientist,US,US,M,220000.0
2023,247500,0,SE,FT,Data Science Lead,US,US,M,247509.0
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2023,83300,0,SE,FT,Data Engineer,GB,GB,M,101857.57
2022,171000,0,SE,FT,Data Engineer,US,US,M,171074.5
2023,150000,0,SE,FT,Research Scientist,US,US,M,150000.0
2022,170000,100,SE,FT,Data Analyst,US,US,M,170021.5
2023,81500,0,SE,FT,Data Engineer,US,US,M,81500.0
2023,130000,100,SE,FT,Data Analyst,US,US,M,130000.0
2022,57000,100,SE,FT,Machine Learning Engineer,NL,NL,L,59589.12
2023,50000,50,SE,FT,Data DevOps Engineer,FR,FR,S,53517.88
2023,128500,0,SE,FT,Data Analyst,US,US,M,128606.25
2022,95000,100,SE,FT,Data Specialist,US,US,M,95000.0
2022,172200,0,SE,FT,Data Science Manager,US,US,M,172200.0
2022,120000,0,MI,FT,Data Engineer,US,US,M,120000.0
2021,120000,100,SE,FT,Data Analytics Manager,US,US,M,119472.26
2022,159699,0,SE,FT,Data Scientist,US,US,M,159751.57
2022,70000,0,MI,FT,Data Scientist,GB,GB,M,86373.63
